Artist,Genre
foo fighters,rock
footloose,80s
forfun,rock
fozzy,heavy metal
framing hanley,alternative rock
franz ferdinand,indie
fresno,rock
from ashes to new,rapcore
fuel,rock
fugazi,post-hardcore
fun.,indie pop
funkadelic,funk
furia inc.,groove metal
fused,lounge
gabriel o pensador,rap
ganggorra,rock
gary glitter,glam rock
george baker,rock
george clinton,funk
ghost,heavy metal
ghosts of august,hard rock
glenn miller,jazz
gloria,post-hardcore
gnarls barkley,funk
godsmack,hard rock
gojira,death metal
goldfrapp,electronic
good charlotte,punk rock
goodbye june,blues rock
goody grace,Hip-Hop
gorky park,hard rock
gotthard,hard rock
grand funk railroad,classic rock
grandson,indie rock
green day,punk rock
greta van fleet,hard rock
grimes,electronic
grumpster,punk rock
guano apes,rock
guess who,Hip-Hop
guns n' roses,hard rock
haim,indie pop
him,Love Metal
halestorm,hard rock
half kids,pop punk
halfnoise,post-rock
halocene,rock
halsey,pop
hammerfall,Power metal
hands off gretel,Grunge
hatebreed,hardcore
have no heroes,punk rock
hawthorne heights,emo
haymaker,hardcore
helia,trancecore
hell or highwater,hard rock
helloween,Power metal
hellyeah,groove metal
helmet,alternative metal
herb alpert,jazz
hermitude,instrumental hip-hop
highly suspect,rock
himalayas,indie rock
hit the lights,pop punk
hockey dad,Garage Rock
hole,Grunge
hollow point heroes,modern rock
hollywood undead,rapcore
holy wars,rock
honey revenge,pop
hot chocolate,Disco
hot mulligan,pop punk
hotel mira,indie
hourcast,hard rock
hudson,indie
héroes del silencio,rock
i dont know how but they found me,alternative rock
i prevail,post-hardcore
inxs,rock
iowa,indie
ice nine kills,post-hardcore
icon for hire,alternative rock
idles,post-punk
il teatro degli orrori,alternative rock
imagine dragons,indie
imperial state electric,hard rock
impractical jokers,television
in evil hour,punk rock
in flames,Melodic Death Metal
incubus,alternative rock
inocentes,punk rock
instinto,Crust
irie révoltés,reggae
iron maiden,heavy metal
ivete sangalo,Axe
jack white,rock
jade bird,folk
james bay,folk
james brown,funk
jane's addiction,alternative rock
janes addiction,hard rock
jared dines,deathcore
jerry cantrell,Grunge
