Artist,Songs,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
biting elbows,1,alternative,indie rock,post-punk,alternative rock,russian
black coffee,1,House,jazz,soul,blues,funk
black days,2,brazil,metalcore,rock,hardcore,Greek
black eyed peas,2,Hip-Hop,pop,rnb,rap,Hip-Hop
black label society,5,heavy metal,metal,hard rock,Southern metal,
black light burns,1,industrial rock,industrial,alternative rock,alternative,rock
black pistol fire,4,blues rock,Garage Rock,Southern Rock,blues,rock
black rain,1,dark ambient,industrial,black metal,techno,hard rock
black rebel motorcycle club,6,rock,indie rock,indie,,alternative rock
black sabbath,15,heavy metal,hard rock,classic rock,metal,rock
black smoke trigger,1,alternative rock,hard rock,heavy metal,alternative metal,blues rock
black star riders,1,hard rock,classic rock,rock,,heavy metal
black stone cherry,11,hard rock,Southern Rock,rock,Stoner Rock,
black veil brides,9,post-hardcore,screamo,rock,Gothic Glam,emo
blackberry smoke,1,Southern Rock,blues rock,rock,country rock,
blacklite district,1,alternative metal,modern rock,electronic,alternative rock,rock
blake shelton,1,country,modern country,Blake Shelton,male country,My Country
bleeker,1,rock,alternative,alternative rock,canada,liszaj radio
blind guardian,2,Power metal,speed metal,metal,heavy metal,symphonic metal
blind pigs,1,punk rock,punk,hardcore,brazil,brazilian punk
blink-182,41,punk rock,pop punk,punk,rock,alternative
blondie,1,new wave,80s,rock,female vocalist,pop
blood red shoes,3,indie rock,,indie,Garage Rock,british
bloodywood,2,metal,Indian,folk metal,Nu Metal,india
blossoms,1,,indie,indie rock,UK,rock
blue stahli,2,industrial,electronic,alternative,fixt music,electronic
blue swede,1,classic rock,rock,swedish,70s,oldies
blues pills,3,blues rock,Psychedelic Rock,Stoner Rock,,hard rock
blues saraceno,1,instrumental rock,instrumental,guitar,guitar virtuoso,rock
blues traveler,1,blues,rock,blues rock,alternative,jam band
blur,2,britpop,rock,indie,alternative,british
bob bradley,1,television,songwriter,under 2000 listeners,gareth johnson,
body count,6,crossover,rapcore,hardcore,metal,rap metal
boikot,1,punk rock,punk,ska,spanish,Spanish Rock
bon jovi,6,rock,hard rock,classic rock,80s,Glam Metal
bonnie tyler,1,80s,pop,female vocalist,rock,classic rock
bowling for soup,5,pop punk,punk rock,rock,punk,alternative
boxcar racer,4,pop punk,punk rock,punk,rock,emo
boys like girls,1,pop punk,alternative,rock,emo,indie
brand new,1,emo,rock,alternative,,indie
brantley gilbert,1,country,male vocalists,country rock,Real Country,
breaking benjamin,2,alternative rock,rock,hard rock,alternative,metal
breakout,1,blues,polish,blues rock,rock,classic rock
bring me the horizon,25,deathcore,metalcore,hardcore,screamo,metal
britney spears & deftones,1,pop,trashpop,,,
britney spears,1,pop,dance,female vocalist,Britney Spears,legend
brody dalle,3,rock,female vocalist,alternative rock,,musicians I would bang
bruno mars,1,pop,rnb,male vocalists,r&b,slow jams
brutto,1,rock,Belarusian,punk,punk rock,alternative
buckcherry,4,hard rock,rock,alternative rock,alternative,Grunge
buckethead,1,experimental,instrumental,guitar virtuoso,Avant-Garde,Progressive rock
bullet bane,8,hardcore,melodic hardcore,punk rock,,punk
bullet for my valentine,12,metalcore,metal,hardcore,emocore,
bury tomorrow,1,metalcore,melodic metalcore,hardcore,british,
bush,2,Grunge,rock,alternative rock,alternative,90s
cpm 22,29,hardcore,rock,brazil,melodic hardcore,brazil
crx,3,,indie rock,rock,power pop,american
csi,1,alternative,italian,rock,giovanni lindo ferretti,experimental
cab calloway,1,jazz,swing,Big Band,blues,oldies
caesars,9,indie,rock,swedish,indie rock,alternative
cage the elephant,4,indie rock,alternative,rock,indie,punk rock
caju e castanha,3,rap,brazil,brazil,repente,Hip-Hop
cake,2,alternative,rock,indie,alternative rock,indie rock
calva louise,9,Garage Rock,alternative rock,indie rock,UK,rock
cam cole,1,blues,british,rock,folk,UK
caméléon,1,under 2000 listeners,french hard rock,,,
caparezza,2,italian,rap,Hip-Hop,italian rap,Hip-Hop
capital cities,1,electronic,indie,electropop,pop,rock
capital inicial,1,rock,brazil,pop rock,brazil,brazil
captives,2,rock,alternative rock,emo,post-hardcore,indie rock
carl carlton,1,funk,soul,Disco,70s,pop
casey edwards,1,Soundtrack,american,electronic,bang bang bang,
cassia,1,,indie,indie pop,pop,rock
cassia eller,1,mpb,rock,brazil,brazil,cassia eller
catfish and the bottlemen,3,indie rock,,british,indie,rock
cefa,2,post-hardcore,experimental,christian,alternative rock,hardcore
chameleon,1,Drum and bass,techno,electronic,dnb,detroit techno
charles mingus,1,jazz,bebop,bass,Avant-Garde,Post-Bop
charlie brown jr,7,alternative rock,rock,,brazil,skate punk
chase & status and blossoms,1,Drum and bass,electronic,,dubstep,Drum and bass
cherri bomb,1,rock,alternative rock,female vocalist,alternative,post-grunge
chester bennington,1,alternative rock,rock,Nu Metal,alternative,metal
chevelle,2,alternative rock,rock,alternative metal,alternative,hard rock
chic,1,Disco,funk,soul,70s,dance
chubby checker,1,rock n roll,60s,twist,oldies,rock n roll
chuck berry,3,rock n roll,classic rock,blues,rock n roll,rock
cinderella,1,hard rock,Glam Metal,Glam Metal,80s,rock
citizen zero,2,,United States,,,
cleopatrick,1,rock,Garage Rock,canada,alternative,alternative rock
clutch,4,Stoner Rock,hard rock,rock,stoner,
comeback kid,4,hardcore,melodic hardcore,,hardcore punk,punk
counting crows,1,rock,alternative,alternative rock,90s,
cracker blues,1,blues,Southern Rock,rock,brazil,country
crash kings,2,indie rock,piano rock,rock,alternative rock,alternative
creed,1,rock,alternative rock,hard rock,alternative,Grunge
creedence clearwater revival,1,classic rock,rock,Southern Rock,60s,folk
crown the empire,1,post-hardcore,electronic,metalcore,trancecore,screamo
crucified barbara,1,hard rock,heavy metal,Female fronted metal,,metal
cry excess,2,,alternative metal,metalcore,electronic,industrial metal
cryptic fate,1,heavy metal,Bangla Metal,bangladesh,bangladeshi,innovatrs of bangla rock
crystal palace,1,Progressive rock,germany,art rock,Progressive,
cult to follow,1,alternative metal,alternative rock,Nu Metal,hard rock,alternative
d-a-d,1,hard rock,rock,,danish,Glam Metal
diamante,7,hard rock,rock,female vocalist,heavy metal,alternative rock
dan croll,1,indie pop,indie,electronic,,pop
dan owen,1,singer-songwriter,,rock,folk,british
dandy warhols,3,indie,dream pop,rock,groovy,jecks
dangerkids,1,post-hardcore,rapcore,electronic,alternative rock,Rap-Rock
danko jones,9,,rock,hard rock,canada,alternative
danzig,1,heavy metal,hard rock,metal,rock,horror punk
darlia,8,,indie,rock,british,alternative
darshan,2,goa,psytrance,Goa Trance,psychedelic,psychedelic trance
darude,1,trance,electronic,dance,techno,electronic
dashboard confessional,1,emo,indie,acoustic,rock,alternative
dave brubeck,1,jazz,piano,jazz piano,cool jazz,instrumental
dayseeker,1,post-hardcore,metalcore,alternative rock,alternative metal,rock
daði freyr,1,icelandic,pop,synthpop,Eurovision,
dead fish,2,hardcore,punk rock,brazil,melodic hardcore,political
dead kennedys,1,punk,punk rock,hardcore punk,hardcore,political
dead posey,1,rock,indie rock,female vocalist,female fronted,indie
dead sara,9,rock,alternative rock,female vocalist,alternative,indie
death from above,2,d-beat,Brasilian D-beat,Crust,punk,hardcore
deb and the mentals,1,Grunge,,female vocalist,brazil,rock doido
declan mckenna,1,,indie pop,indie,indie rock,electronic
decyfer down,1,christian rock,alternative rock,rock,christian,modern rock
